asvID,CPF1,CPF2,CPF3,CPF4,CPF5,CPA1,CPA2,CPA3,CPA4,CPA5,CPJ1,CPJ2,CPJ3,CPJ4,CPJ5,CPO1,CPO2,CPO3,CPO4,CPO5,ONF1,ONF2,ONF3,ONF4,ONF5,ONA1,ONA2,ONA3,ONA4,ONA5,ONJ1,ONJ2,ONJ3,ONJ4,ONJ5,ONO1,ONO2,ONO3,ONO4,ONO5,TSA1,TSA2,TSA3,TSA4,TSA5,TSJ1,TSJ2,TSJ3,TSJ4,TSJ5,TSO1,TSO2,TSO3,TSO4,TSO5,SBF1,SBF2,SBF3,SBA1,SBA2,SBA3,SBJ1,SBJ2,SBJ3,SBO1,SBO2,SBO3
asv46,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,32,0,0,0,128,68,111,0,0,0,3055,3117,2778,764,79,616
asv48,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,90,56,59,441,284,208,1229,1167,952,1379,359,1544
asv49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,400,459,471,3628,1713,1644,562,426,464,452,59,469
asv50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,118,101,593,280,269,188,157,241,2122,639,1788
asv51,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,1164,4553,2035,568,922,428,206,29,34,138,58,59,925,51,0,9,0,0,0,0,5,0,0,0,0,0
asv53,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,915,989,786,1956,1054,912,150,208,141,821,292,774
asv54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,1253,2259,1756,181,681,202,603,153,120,541,1141,380,814,345,0,0,0,0,0,0,0,0,0,0,0,0
asv55,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3362,2725,3009,189,108,96,150,198,159,65,17,46
asv56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,0,0,0,0,0,0,0,0,0,0,0,182,196,232,1047,592,576,1891,1975,1901,436,0,0
asv57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,205,264,2601,1351,1262,1376,1470,1291,0,0,0
asv58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,403,492,509,3944,1678,1833,222,270,189,0,0,0
asv59,141,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,254,205,2822,1051,3704
asv60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,222,202,229,1806,923,862,675,748,649,997,225,1097
asv62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2751,2765,3139,335,209,213,62,72,44,0,0,0
asv63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4722,2089,2550,0,0,0,0,0,0
asv64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,60,101,5031,2401,1607,0,0,0,0,0,0
